,link,fsa,name,price,size,image_url,brand,special_feature,item_dimension,product_benefit,special_use,item_weight,reviews,rating,5 star,4 star,3 star,2 star,1 star,discontinued,product_dimension,model_number,first_date,manufacturer,asin,origin_country,ingredients,cat
0,https://www.amazon.com/Basic-Care-Daytime-Nighttime-Count/dp/B07BQKPMFM/ref=sr_1_1?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-1&ts_id=3761171,FSA or HSA eligible,"Cold and Flu Relief, Daytime and Nighttime Combo Pack Softgels, Powerful Cold Medicine for Day and Night Multi-Symptom Relief, 48 Count",12.74,48 Count (Pack of 1),https://m.media-amazon.com/images/I/71Yn2+VQcCL._AC_UL320_.jpg,Amazon Basic Care,Non Drowsy,4.38 x 2 x 3.25 inches,Cold and Flu Control,"Pain and Fever Relief, Cold and Flu Relief",,11523,4.7,82%,12%,4%,1%,1%,,4.38 x 2 x 3.25 inches; 3.84 Ounces,58072,10-Apr-18,Perrigo Company - Basic Care,B07BQKPMFM,Canada,"Daytime Cold & Flu: Active ingredients (in each softgel): Acetaminophen 325 mg (Pain reliever/fever reducer); Dextromethorphan HBr 10 mg (Cough suppressant); Phenylephrine HCl 5 mg (Nasal decongestant). Inactive ingredients: edible ink (may contain this ingredient), FD&C red no. 40, FD&C yellow no. 6, gelatin, glycerin, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution. --Nighttime Cold & Flu: Active ingredients (in each softgel): Acetaminophen 325 mg (Pain reliever/fever reducer); Dextromethorphan HBr 15 mg (Cough suppressant); Doxylamine succinate 6.25 mg (Antihistamine). Inactive ingredients: D&C yellow no. 10, edible ink (may contain this ingredient), FD&C blue no. 1, gelatin, glycerin, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution.",cold
1,https://www.amazon.com/TYLENOL-Symptom-Relief-Caplets-Acetaminophen/dp/B009ITR4EY/ref=sr_1_3?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&rdc=1&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-3&ts_id=3761171,FSA or HSA eligible,"Cold + Flu Severe Medicine Caplets for Fever, Pain, Cough & Congestion, 24 ct.",7.66,24 Count (Pack of 1),https://m.media-amazon.com/images/I/81ZPNR2nA-L._AC_UL320_.jpg,Tylenol,Targeted,0.79 x 4.52 x 2.91 inches,"Cold and Flu Control,Cough Relief,Fever Control,Headache Relief,Nasal Congestion Relief,Throat Care,Sinus Control, Chest Congestion ReliefCold and Flu Control,Cough Relief,Fever Control,Headache Relief,Nasal Congestion Relief,Throat Care,Sinus Control, Chest Congestion Relief","Cold,Flu,Fever,Cough,Nasal Congestion,Headache,Sore Throat,Chest Congestion,Sinus Pressure",,26392,4.8,83%,11%,4%,1%,1%,No,0.79 x 4.52 x 2.91 inches; 1.13 Ounces,JJ-2309,28-Apr-17,Johnson & Johnson,B009ITR4EY,Italy,"Active ingredients (in each caplet) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg Purposes Pain reliever/fever reducer Cough suppressant Expectorant Nasal decongestant Inactive ingredients: carnauba wax, croscarmellose sodium, D&C yellow no. 10 aluminum lake, flavor, hydroxypropyl cellulose, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, pregelatinized starch, sucralose, titanium dioxide",cold
2,https://www.amazon.com/Mucinex-Fast-Max-Strength-Severe-Liquid/dp/B013Q8JZVM/ref=sr_1_2?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-2&ts_id=3761171,FSA or HSA eligible,"Fast-Max Maximum Strength Cold & Flu Day and Night Medicine, All-in-One Multi-Symptom Relief Liquid Gels – 24 count (16 Day time + 8 Night time) (Packaging May Vary)",15.34,24 Count (Pack of 1),https://m.media-amazon.com/images/I/81l8CSZQAOL._AC_UL320_.jpg,Mucinex,Information already added,1.73 x 3.54 x 4.92 inches,Cold and Flu Control,,2.2 Ounces,1389,4.8,85%,10%,3%,0%,2%,No,1.73 x 3.54 x 4.92 inches; 2.2 Ounces,371505,13-Aug-15,Reckitt Benckiser Healthcare,B013Q8JZVM,United Kingdom,"Active Ingredients: (Mucinex Fast-Max Day Severe Cold): In Each Liquid Gel: Acetaminophen (325 mg), Dextromethorphan HBr (10 mg), Guaifenesin (200 mg), Phenylephrine HCl (5 mg). (Mucinex Fast-Max Night Cold & Flu): In Each Liquid Gel: Acetaminophen (3",cold
3,https://www.amazon.com/Amazon-Basic-Care-Nighttime-Reliever/dp/B074F297S8/ref=sr_1_4?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-4&ts_id=3761171,FSA or HSA eligible,"Night Time Cold & Flu Liquid, Cherry, 12 Fl Oz (Pack of 1)",7.99,12 Fl Oz (Pack of 1),https://m.media-amazon.com/images/I/71BW4K0jaUS._AC_UL320_.jpg,Amazon Basic Care,,2.5 x 2.5 x 7.25 inches,Cold and Flu Control,"Cold, Cough, Fever",,10169,4.7,81%,13%,4%,1%,1%,,2.5 x 2.5 x 7.25 inches; 1.04 Pounds,,28-Jul-17,PERRIGO COMPANY,B074F297S8,USA,"Active ingredients (in each 30 mL): Acetaminophen 650 mg. Purpose: Pain reliever/fever reducer. Dextromethorphan HBr 30 mg. Purpose: Cough suppressant. Doxylamine succinate 12.5 mg. Purpose: Antihistamine. Inactive ingredients: alcohol, anhydrous citric acid, FD&C blue no. 1, FD&C red no. 40, flavor, high fructose corn syrup, polyethylene glycol, propylene glycol, purified water, saccharin sodium, sodium citrate.",cold
4,https://www.amazon.com/Theraflu-ExpressMax-Daytime-Nighttime-Severe/dp/B011VX2FGQ/ref=sr_1_7?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-7&ts_id=3761171,FSA or HSA eligible,"ExpressMax Severe Cold and Cough Medicine, Daytime and Nighttime Cough and Cold Medicine for Cough Relief, Berry Flavor - 8.3 Fl Oz x 2",12.98,8.3 Fl Oz (Pack of 2),https://m.media-amazon.com/images/I/91sQHZpElFL._AC_UL320_.jpg,Theraflu,,1.63 x 5.75 x 6 inches,Cough Relief,"Cold, Cough",0.68 Kilograms,3448,4.7,83%,12%,4%,1%,1%,,1.63 x 5.75 x 6 inches; 1.5 Pounds,3.00678E+11,20-Jul-15,GlaxoSmithKline,B011VX2FGQ,USA,"Theraflu ExpressMax Daytime Severe Cold & Cough acesulfame potassium, alcohol, anhydrous citric acid, edetate disodium, FD&C blue no. 1, FD&C red no. 40, flavors, glycerin, maltitol solution, propylene glycol, purified water, sodium benzoate, sodium citrate Theraflu ExpressMax Nighttime Severe Cold & Cough acesulfame potassium, alcohol, anhydrous citric acid, edetate disodium, FD&C blue no. 1, FD&C red no. 40, flavors, glycerin, maltitol solution, propylene glycol, purified water, sodium benzoate, sodium citrate",cold
5,https://www.amazon.com/GoodSense-Nighttime-Relief-Cherry-Flavor/dp/B00D2PHNWI/ref=sr_1_77?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298945&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-77&ts_id=3761171,FSA or HSA eligible,"Nighttime Cold and Flu Relief, Cherry Flavor, Cold and Flu Liquid, 12 Fl Oz (Pack of 1)",6.23,12 Fl Oz (Pack of 1),https://m.media-amazon.com/images/I/61cKFI-kaDL._AC_UL320_.jpg,GoodSense,,2.5 x 2.5 x 7.25 inches,Fever Control,"Cold, Cough, Fever, Sore Throat",1.1 Pounds,3336,4.7,78%,15%,4%,1%,1%,No,2.5 x 2.5 x 7.25 inches; 1.05 Pounds,3.0113E+11,29-May-13,Good Sense,B00D2PHNWI,USA,"ACTIVE INGREDIENTS (IN EACH 30 ML DOSE CUP): Acetaminophen 650 mg, Pain reliever/fever reducer. Dextromethorphan HBr 30 mg, Cough suppressant. Doxylamine succinate 12.5 mg, Antihistamine. INACTIVE INGREDIENTS: Alcohol, anhydrous citric acid, FD&C blue no. 1, FD&C red no. 40, flavor, high fructose corn syrup, polyethylene glycol, propylene glycol, purified water, saccharin sodium, sodium citrate",cold
6,https://www.amazon.com/ALKA-SELTZER-PLUS-Effervescent-Congestion-Packaging/dp/B0C79Y6S4P/ref=sr_1_14?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&rdc=1&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-14&ts_id=3761171,,"Severe, Cold & Flu Medicine, Citrus Effervescent Tablets, Nasal & Sinus Congestion, Sneezing, Runny Nose, Cough, Sore Throat 24 Count, Packaging May Vary",10.47,24 Count (Pack of 1),https://m.media-amazon.com/images/I/815pngvAo9L._AC_UL320_.jpg,,,,,,,46,4.7,79%,17%,0%,4%,0%,,2.68 x 1.97 x 3.31 inches; 3.53 Ounces,,13-Jul-23,Bayer Healthcare LLC,B0C79Y6S4P,Mexico,"Active Ingredients: Acetaminophen 250 mg, Chlorpheniramine maleate 2 mg, Dextromethorphan hydrobromide 10 mg, Phenylephrine hydrochloride 5 mg Inactive Ingredients: anhydrous citric acid, calcium silicate, dimethicone, FD&C red #40, FD&C yellow #6, flavors, magnesium stearate, maltodextrin, mannitol, potassium bicarbonate, povidone, sodium bicarbonate, sucralose",cold
7,https://www.amazon.com/Vicks-DayQuil-Multi-Symptom-Relief-LiquiCaps/dp/B005ZQP478/ref=sr_1_8?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-8&ts_id=3761171,FSA or HSA eligible,"DayQuil Cold & Flu Medicine, Non-Drowsy Powerful Multi-Symptom Daytime Relief for Headache, Fever, Sore Throat, Minor Aches and Pains, Nasal Congestion, Sinus Pressure and Cough, 48 Liquicaps",11.49,48 Count (Pack of 1),https://m.media-amazon.com/images/I/81sWkc8ikwL._AC_UL320_.jpg,Vicks,MULTI-SYMPTOM RELIEF,4.25 x 2 inches,Cold and Flu Control,,1 Ounces,3030,4.8,88%,8%,3%,0%,1%,No,,3.239E+11,26-Oct-11,Procter & Gamble - HABA Hub,B005ZQP478,USA,"Active Ingredients (In each LiquiCap): Acetaminophen 325 mg (Pain Reliever/Fever Reducer), Dextromethorphan HBr 10 mg (Cough Suppressant), Phenylephrine HCl 5 mg (Nasal Decongestant) Inactive Ingredients: FD&C Red No. Atin, Glycerin, Polyethylene Glycol, Povidone, Propylene Glycol, Purified Water, Sorbital Sorbitan Solution, Titanium Dioxide",cold
8,https://www.amazon.com/Tylenol-Suppressant-Decongestant-Expectorant-Acetaminophen/dp/B09GS4SQ4P/ref=sr_1_12?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&rdc=1&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-12&ts_id=3761171,,"Cold + Flu Severe Medicine Caplets for Cold & Flu Symptom Relief,Fever Reducer,Pain Reliever,Cough Suppressant,Nasal Decongestant & Expectorant with Acetaminophen,2 pks of 24 ct ea,48 ct",15.34,24 Count (Pack of 2),https://m.media-amazon.com/images/I/81wPzjXewXL._AC_UL320_.jpg,Tylenol,,,"Cold,Flu,Cough Suppressant,Decongestant","Cough,Sore Throat,Fever,Cold",0.07 Kilograms,1255,4.8,86%,9%,3%,1%,2%,,,3.0045E+11,21-Sep-21,Johnson & Johnson,B09GS4SQ4P,Italy,,cold
9,https://www.amazon.com/Vicks-DayQuil-NyQuil-Severe-Congestion/dp/B08BPZVLC9/ref=sr_1_6?c=ts&keywords=Cold+%26+Flu+Medicine&qid=1699298540&refinements=p_85%3A2470955011&refresh=1&rps=1&s=hpc&sr=1-6&ts_id=3761171,FSA or HSA eligible,"DayQuil & NyQuil Severe Honey Combo Pack, Cold & Flu Medicine, Max Strength Relief for Fever, Sore Throat, Sinus Pressure, Stuffy Nose, Honey Flavor, 2 x 12 oz Bottles, 1 NyQuil, 1 DayQuil",19.97,2 Piece Set,https://m.media-amazon.com/images/I/814RDyhadkL._AC_UL320_.jpg,Vicks,Non_drowsy,5.47 x 2.21 x 7.4 inches,,"Cold, Sinus Pressure, Cough, Sore Throat, Fever",1.68 Pounds,5390,4.6,78%,11%,5%,2%,3%,,5.47 x 2.21 x 7.4 inches; 1.68 Pounds,80344198,7-Jul-20,AmazonUs/PRFZ7,B08BPZVLC9,Canada,"DayQuil: Active Ingredients (in each 15 mL): Acetaminophen 325 mg, Dextromethorphan HBr 10 mg, Guaifenesin 200 mg, Phenylephrine HCl 5 mgInactive Ingredients: Citric Acid, D&C Yellow No. 10, FD&C Green No. 3, FD&C Red No. 40, FD&C Yellow No. 6, Flavor, Glycerin, Propylene Glycol, Purified Water, Saccharin Sodium, Sodium Benzoate, Sodium Citrate, Sorbitol, Sucralose, Xanthan GumNyQuil: Active Ingredients (in each 15 mL): Acetaminophen 325 mg, Dextromethorphan HBr 10 mg, Doxylamine Succinate 6.25 mg, Phenylephrine HCl 5 mgInactive Ingredients: Citric Acid, D&C Yellow No. 10, FD&C Green No. 3, FD&C Red No. 40, FD&C Yellow No. 6, Flavor, Glycerin, Propylene Glycol, Purified Water, Saccharin Sodium, Sodium Benzoate, Sodium Citrate, Sorbitol, Sucralose, Xanthan Gum",cold
